,title
0,Clinical Characteristics of Coronavirus Disease 2019 in China
1,"A Novel Coronavirus from Patients with Pneumonia in China, 2019"
2,"Clinical course and risk factors for mortality of adult inpatients with COVID-19 in Wuhan, China: a retrospective cohort study"
3,"Clinical Characteristics of 138 Hospitalized Patients With 2019 Novel Coronavirus–Infected Pneumonia in Wuhan, China"
4,A pneumonia outbreak associated with a new coronavirus of probable bat origin
5,SciPy 1.0: fundamental algorithms for scientific computing in Python
6,SARS-CoV-2 Cell Entry Depends on ACE2 and TMPRSS2 and Is Blocked by a Clinically Proven Protease Inhibitor
7,"Cancer statistics, 2020"
8,"Epidemiological and clinical characteristics of 99 cases of 2019 novel coronavirus pneumonia in Wuhan, China: a descriptive study"
9,Characteristics of and Important Lessons From the Coronavirus Disease 2019 (COVID-19) Outbreak in China
10,"Early Transmission Dynamics in Wuhan, China, of Novel Coronavirus–Infected Pneumonia"
11,Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine
12,The psychological impact of quarantine and how to reduce it: rapid review of the evidence
13,Array programming with NumPy
14,The ERA5 global reanalysis
15,A new coronavirus associated with human respiratory disease in China
16,Genomic characterisation and epidemiology of 2019 novel coronavirus: implications for virus origins and receptor binding
17,An interactive web-based dashboard to track COVID-19 in real time
18,"Clinical course and outcomes of critically ill patients with SARS-CoV-2 pneumonia in Wuhan, China: a single-centered, retrospective, observational study"
19,COVID-19: consider cytokine storm syndromes and immunosuppression
20,Cryo-EM structure of the 2019-nCoV spike in the prefusion conformation
21,"Presenting Characteristics, Comorbidities, and Outcomes Among 5700 Patients Hospitalized With COVID-19 in the New York City Area"
22,Aerosol and Surface Stability of SARS-CoV-2 as Compared with SARS-CoV-1
23,A familial cluster of pneumonia associated with the 2019 novel coronavirus indicating person-to-person transmission: a study of a family cluster
24,"Global burden of 369 diseases and injuries in 204 countries and territories, 1990–2019: a systematic analysis for the Global Burden of Disease Study 2019"
